"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Renee Zellweger","nm0000250","good",True,2005,2005,2005
"Michael Biehn","nm0000299","average",True,1987,1987,1987
"Robyn Lively","nm0001477","bad",False,2009,2009,2009
"Richard Basehart","nm0000865","average",False,1973,1975,1975
"Caroline Aaron","nm0000715","bad",True,2009,2011,2011
"Lee Marvin","nm0001511","average",False,1982,1982,1982
"Frank Oz","nm0000568","star",True,2015,2015,2015
"Balthazar Getty","nm0001267","average",True,2001,2001,2001
"DeForest Kelley","nm0001420","average",True,1984,1984,1984
"Simon Callow","nm0001003","average",True,2007,2007,2007
"Graham Chapman","nm0001037","star",False,1980,1981,1981
"Liam Neeson","nm0000553","good",True,1996,1996,1996
"Jennifer Beals","nm0000884","bad",True,2000,2002,2002
"Martha Plimpton","nm0000588","good",True,2011,2011,2011
"Brian Blessed","nm0000306","good",False,2000,2002,2002
"Marcia Gay Harden","nm0001315","average",False,1993,1993,1993
"Matt Frewer","nm0001242","bad",True,1995,1996,1996
"Glenn Close","nm0000335","bad",True,2002,2004,2004
"Mary Stuart Masterson","nm0000524","bad",True,1990,1990,1990
"Shelley Duvall","nm0001167","average",False,1982,1986,1986
"Alain Delon","nm0001128","bad",True,1992,1994,1994
"Brad Davis","nm0001113","average",False,1983,1986,1986
"Jennifer Beals","nm0000884","bad",False,1989,1989,1989
"Bruce Dern","nm0001136","star",True,2012,2012,2012
"Brooke Adams","nm0000724","bad",True,2008,2008,2008
"Ralph Fiennes","nm0000146","good",True,1994,1996,1996
"Jim Jarmusch","nm0000464","average",False,1988,1988,1988
"Tea Leoni","nm0000495","average",True,1994,1996,1996
"Peter O'Toole","nm0000564","bad",True,1993,1993,1993
"Susan George","nm0001265","average",True,1970,1970,1970
"Veronica Cartwright","nm0001021","average",False,1976,1977,1977
"Anthony Hopkins","nm0000164","bad",True,1988,1990,1990
"Richard Jaeckel","nm0001395","bad",True,1989,1990,1990
"Lindsay Crouse","nm0001080","good",True,1984,1984,1984
"Beatrice Dalle","nm0001095","bad",True,2007,2009,2009
"Noah Hathaway","nm0000441","bad",False,2015,2015,2015
"Bob Hoskins","nm0001364","bad",True,2003,2003,2003
"Phoebe Cates","nm0000121","average",True,1989,1990,1990
"Noah Baumbach","nm0000876","bad",True,1997,1997,1997
"Linda Hamilton","nm0000157","bad",True,1986,1986,1986
"Sam Elliott","nm0000385","average",True,1970,1970,1970
"Ricki Lake","nm0001442","bad",True,1989,1989,1989
"Bill Pullman","nm0000597","average",True,1988,1988,1988
"Jeffrey Combs","nm0001062","average",False,1984,1984,1984
"Jennifer Beals","nm0000884","bad",True,2004,2006,2006
"Queen Latifah","nm0001451","average",True,1993,1993,1993
"Tina Louise","nm0001481","bad",False,1992,1996,1996
"Patrick Bergin","nm0000920","bad",True,1996,1996,1996
"Ricki Lake","nm0001442","average",True,2007,2007,2007
"James Garner","nm0001258","good",False,2005,2005,2005
"Gabriel Byrne","nm0000321","bad",True,1986,1989,1989
"Kris Kristofferson","nm0001434","bad",True,2013,2014,2014
"Angie Dickinson","nm0001141","average",False,1982,1986,1986
